resultid,user,datetime,SysBenchVer,JuliaVer,OS,CPU,WORD_SIZE,LIBM,LLVM,GPU,FloatMul,FusedMulAdd,FloatSin,VecMulBroad,CPUMatMul,MatMulBroad,3DMulBroad,peakflops,FFMPEGH264Write,DeepCopy,Bandwidth10kB,Bandwidth100kB,Bandwidth1MB,Bandwidth10MB,Bandwidth100MB,DiskWrite1KB,DiskWrite1MB,DiskRead1KB,DiskRead1MB,JuliaLoad,compilecache,success_create_expr_cache,create_expr_cache,output-ji-substart,GPUMatMul,mean_cpu,mean_diskio
res_20,@gdkrmr,2020-05-11T21:42:19.0,0.2.1,1.4.2-pre.0,Linux (x86_64-linux-gnu),Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, ivybridge)",,1.490299823633157,1.5352733686067022,1.3510244384102692,2.3387473838473998,1.790023015575657,1.5086564194870093,1.610789248741571,0.40530849104087735,1.5788789933994043,1.5009818326879827,,,,,,1.554193447248785,2.585669614326147,1.886614133958406,0.8939097770512331,1.6186092185534875,1.618047147743907,,1.4135994255843136,,,1.6599034628238811,1.7300967431461427
res_21,@IanButterworth,2020-05-11T23:38:29.0,0.2.1,1.4.1,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.5167548500881836,1.522045855379189,1.4058257220439399,1.567270547779801,2.0131938125568696,4.769542074224948,1.60447335929338,1.0580179927324411,1.3747548858720888,1.0870767998379847,,,,,,4.125928828970058,0.40545751761856935,10.237868435489501,7.309491843761956,2.3687014172635292,1.604831096051069,1.4213125694207942,12.587582734424455,1.1324662973373587,,2.1727733106860505,5.519686656460021
res_22,@IanButterworth,2020-05-11T23:39:32.0,0.2.1,1.4.1,Linux (aarch64-unknown-linux-gnu),unknown,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, generic)",Xavier,0.507936507936508,0.5925925925925928,2.1017171624042454,1.9040496868694234,4.859176791735802,1.263134626467407,1.4010827239054042,0.07511592057817729,4.061712510351495,1.97761039177751,,,,,,2.4269634738987302,2.0209390338806936,5.017605106977209,2.366815067302007,3.422801984399506,3.865612343929843,3.253597717059058,67.94572577019346,3.560975059027798,6.639529203786839,1.4355841415165975,2.9580806705146596
res_23,@giordano,2020-05-11T23:53:00.0,0.2.1,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-4870HQ CPU @ 2.50GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, haswell)",,1.2142857142857144,1.4955908289241624,1.3149839545791162,1.224000927449173,1.183134400256918,0.8057812092935129,1.271725709943964,0.857427176106808,1.4713260309707341,0.8879932438101171,,,,,,0.9072268380623922,0.8544826814136594,1.3670191012917063,0.776390386421342,1.3286647299173424,1.5417789133748663,1.3728990464992379,1.2572411494576827,2.3237261389548047,,1.166155503110296,0.976279751797275
res_24,@maleadt,2020-05-12T07:08:59.0,0.2.1,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",Quadro RTX 5000,0.9955908289241623,0.9955908289241623,0.8899037274746976,1.0053245265215343,0.8361076914842369,0.7584597125842418,1.0654383132301264,0.9688201449595011,1.0140341321240403,0.992119422996316,,,,,,0.8567173538172127,0.8222078752070535,0.7455769038950676,0.7494626273868735,1.2627449249537086,1.030968203604952,1.0331447515557415,0.7145922386777702,0.9813256283619711,0.864599567351306,0.9429434217469526,0.7934911900765518
res_25,@maleadt,2020-05-12T07:08:59.0,0.2.1,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Xeon(R) CPU E5-2637 v2 @ 3.50GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, ivybridge)",GeForce RTX 2080 Ti,1.4038800705467376,1.4038800705467376,1.236484818563318,1.876589995303785,1.8582401113311564,2.187978116192596,3.244214391996707,1.112395416572995,1.4522618220505235,1.9125847036013996,,,,,,1.7836808277159428,4.615398912235395,2.20814423220787,1.4266495078432055,2.123492483842581,1.7881388466722334,1.6154411849184027,1.558121562285405,2.271220442365503,1.6464221193583153,1.989829478520629,2.508468370000603
res_26,@maleadt,2020-05-12T07:08:59.0,0.2.1,1.4.1,Linux (x86_64-pc-linux-gnu),AMD Ryzen Threadripper 2990WX 32-Core Processor,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, znver1)",GeForce GTX TITAN,1.0776014109347443,1.0776014109347443,0.7815354233522587,1.0061670148951944,2.93336187978376,0.7806961450710118,1.2769493779086332,1.1328907991987072,1.5164663339629836,0.9046755033079937,,,,,,0.885217118670638,0.8184439575154447,0.9471348062440775,0.8716775068693263,1.8200096837466218,1.405108227486839,1.25610714281263,2.645992287440473,1.318961022504308,3.170640366588356,0.9845898744323686,0.8806183473248717
res_27,@maleadt,2020-05-12T07:08:59.0,0.2.1,1.4.1,Linux (aarch64-unknown-linux-gnu),unknown,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, generic)",,0.4514991181657849,0.507936507936508,1.148842726649462,1.437943513594447,110.32706203500507,1.0978782721671667,2.376768923924399,0.3800224887048127,2.5486799481662112,1.5806316702977548,,,,,,34.40736792600721,34.694584653910866,6.775023689591542,6.08783694480192,4.1909632802648655,3.396153361502394,2.921512595495855,64.42892500609534,2.542551133885825,,1.3025865109002521,20.491203303577883
res_28,@maleadt,2020-05-12T07:08:59.0,0.2.1,1.4.1,Linux (aarch64-unknown-linux-gnu),unknown,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, cortex-a57)",NVIDIA Tegra X1,3.8121693121693134,3.8121693121693134,6.493265087008116,4.719157417437491,5.321843387036343,2.5287165762735953,4.8619459180766045,0.08714976367017427,5.028054412911833,3.0652767927912894,,,,,,39.70286878821132,47.01997278414699,22.014562864695026,7.4482383221453174,6.5398120562645445,5.241171921450807,4.597553335634947,33.88741407810532,4.304404993721452,7.395036170361237,4.483050862193023,29.04641068979966
res_29,@oschulz,2020-05-12T08:38:07.0,0.2.1,1.4.1,Linux (x86_64-pc-linux-gnu),AMD EPYC 7702P 64-Core Processor,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, znver1)",Tesla V100-PCIE-32GB,1.3403880070546739,1.3403880070546739,0.9701308318933598,1.1371541915779912,2.2063373119948615,0.7818605973047865,1.3220628739671383,3.7198088841315964,1.2719922259526115,1.1106843703701947,,,,,,0.6897632857814704,0.8091640472495034,0.9767717320831878,0.914232548433098,1.979437650999748,1.451831058392598,1.264388156286372,2.1121877677195386,1.181072770692236,1.212967055120064,1.11031930035959,0.847482903386815
res_30,@v-i-s-h,2020-05-15T13:28:21.0,0.2.1,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.0714285714285716,1.0714285714285716,0.9563070846704519,1.0614342522073197,0.9350211422148476,0.7290918325188747,1.1361002944249217,1.0762090827527517,1.067257958943006,0.8602654453217418,,,,,,2.7286722056748705,7.447107337411364,0.9069747144780809,1.7060171820110606,1.103237390680437,1.1428195905705625,1.1045570000232945,0.9930982881607291,1.3151598240498859,,0.9908724070500279,3.1971928598938435
res_31,@v-i-s-h,2020-05-15T13:33:14.0,0.2.1,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, haswell)",GeForce GTX TITAN X,1.3994708994708998,1.4012345679012348,1.473710195013577,1.7568979075306503,1.899239950757373,1.6114778336790037,2.1230411245132497,1.4469008698408665,1.9448428561030289,1.7089251336967566,,,,,,15.346214140147358,27.059502071622042,2.1066468006583214,2.526392125491287,2.0025437017493877,1.6975387995303304,1.5050767711972781,2.3026967116491415,1.4040710415712687,0.9863614865126811,1.6729195920414761,11.759688784479753
res_32,@IanButterworth,2020-05-15T23:59:07.0,0.3.0,1.4.1,Linux (aarch64-unknown-linux-gnu),unknown,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, generic)",Xavier,0.507936507936508,3.2733686067019407,1.3562023953627396,2.240373855335684,4.595461114382059,1.2909235882496901,1.4132396238959064,0.07925078068679355,4.64455481884183,2.0558499730078132,0.23449383298258222,0.22387238723872385,0.38731801390699694,1.1161200117727392,0.8122591931793909,2.5764539896535505,1.629313343158865,3.466360780010972,5.953963340405552,3.4854757305217534,3.9148166057638925,3.330940119240481,52.23472754399268,4.096478672326278,5.990463120187946,1.3617351941561056,3.406522863307235
res_33,@Libbum,2020-05-16T09:23:45.0,0.3.0,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, broadwell)",GeForce GTX 980 Ti,1.3553791887125222,1.6208112874779543,1.4722290792396941,1.6007102626656462,1.3863405234705346,1.2232838568011342,1.5562731503466614,1.2304593416962977,1.7015275318579108,1.3214396023312749,0.7890837344965672,0.4562140955583578,0.439748353969747,2.642864285659341,1.3058329219324327,1.358770967236244,12.649623064783295,1.6909692783402324,2.4312128273799174,1.4087639334236932,1.3903854868885197,1.2957410123194886,2.2186257865222574,1.6149281032126943,0.9147612290944616,1.4415751075531316,4.532644034434922
res_34,@Drvi,2020-05-17T08:39:51.0,0.3.1,1.4.0,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",GeForce MX250,1.615520282186949,1.9171075837742506,1.3239603464239356,1.3385346462844445,1.1564523898731467,0.8848110034815149,1.2883464716497293,0.7552980298286893,1.179185201200798,1.2594635587108605,0.9397086212944986,0.9036412078152753,0.6791208267847788,1.7432939693673453,1.618296762293794,0.9643204263991221,1.3701203845000067,0.8105046417350042,0.8662933463183891,1.132788002255149,1.4084005503632322,1.3749866756685496,1.0275486900056592,2.900907532684271,0.6010250207407751,1.2902345500053147,1.0028096997381306
res_35,@bisraelsen,2020-05-18T15:39:42.0,0.3.2,1.3.1,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,64,libopenlibm,"libLLVM-6.0.1 (ORCJIT, skylake)",GeForce GTX 1650 with Max-Q Design,1.0705467372134039,1.1499118165784834,1.0780054307578375,1.1404765114241424,1.0491891023925493,0.6816453381121927,1.1194795327191565,1.0019233636143365,1.0666547831327606,0.8597457613400176,0.9506954223448171,0.9328443731377491,0.9324810358357312,2.4109003641875253,1.9585845234214077,1.0860322934629254,1.3425643333202906,1.1587950725649594,0.769141942888943,1.0436401994061293,1.1841410228168279,1.1173407144345422,1.3925419907261394,1.04571857969554,0.9889511758274987,1.0180307100453465,1.0891334105592796
res_36,@helgee,2020-05-29T10:02:06.0,0.3.2,1.4.2,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, goldmont)",,0.9276895943562612,0.8835978835978838,0.8953344853122686,1.1560955169583247,2.8177487555531764,3.6915158799706322,1.1558621392124717,0.2559044696364546,1.3024203820320113,0.6647067406439106,1.1921183930136168,0.9114831196461564,0.8432085624741292,2.8593839726358015,1.7538844670758127,4.659272613262267,0.3280890645311352,26.04356391202434,10.611860457027582,2.019897255667929,1.5275107239005923,1.3372633352912524,10.722956272382191,1.3020943417811421,,1.5652995231619917,10.41069651171133
res_37,@haberdashPI,2020-05-29T18:36:01.0,0.3.2,1.4.2,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.514109347442681,1.512345679012346,1.3315230807208098,1.7359623322593687,2.376706096451319,5.0982876631219955,1.7420457783265266,1.3352874873248222,1.389710092413981,1.094141750515553,0.8932699880494853,0.7307001795332135,0.7169721195665837,1.9577994009928747,1.2668680025734962,4.6864869101740085,0.5440812041058549,10.84045683507057,6.896267955897186,2.772206033237649,1.9742550618070556,1.6453034611591038,11.950666908243358,3.8961562643977246,,2.284385640374276,5.741823226311905
res_38,@GlenHertz,2021-02-07T02:13:36.0,0.3.5,1.5.3,Linux (x86_64-pc-linux-gnu),AMD Ryzen 7 4700U with Radeon Graphics,64,libopenlibm,"libLLVM-9.0.1 (ORCJIT, znver2)",,2.094356261022928,2.094356261022928,1.0861515675141942,1.0779807238660108,1.985013113525665,1.45148970940009,1.525690948808054,0.6003556958263601,2.719729491616424,1.4761499223974714,1.072406499655827,1.0644001307616868,1.5293329043329045,0.9180321473575531,0.6619020947772764,0.5058159586142029,5.795360479625065,0.7538633627108018,2.2467427219922786,1.3910301826572002,1.3943839960101299,1.3233397292742999,3.8569765335087003,1.5298278728368446,,1.4471338421222555,2.325445630735587
res_39,@GlenHertz,2021-02-07T02:00:00.0,0.3.5,1.5.3,Linux (x86_64-pc-linux-gnu),Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,64,libopenlibm,"libLLVM-9.0.1 (ORCJIT, skylake-avx512)",Tesla T4,1.4991181657848327,1.5000000000000002,1.4097753641076278,1.5445593546066383,2.3905957287373547,2.193188546526774,2.137809858486086,1.031832378956857,2.7429087214017582,1.96590672062075,1.3374322749204701,0.6552772808586761,0.36891533535993787,1.0329410717753869,0.5787821507285309,0.8081203950462454,4.555256659406208,1.5084035708942196,3.984678793781086,1.6473182115371632,1.7552747838595344,1.7238665157407738,3.850743631210814,2.83562762483216,2.1926449722034844,1.7568902579023917,2.71411485478194
res_40,@Uroc327,2021-03-17T19:56:57.0,0.3.5,1.5.3,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,64,libopenlibm,"libLLVM-9.0.1 (ORCJIT, haswell)",GeForce GT 730,1.014109347442681,1.2142857142857144,1.0755369044680325,1.138638462845551,4.076861317775517,1.0292968287426285,1.2243327951372398,0.027167082014898238,1.3030621002874425,0.9826406572917556,1.0643043482581158,0.569208655452391,0.6276464633126458,1.4147016145901101,1.0161016489255443,2.7928358676908607,3.22931856025529,1.160864794773328,0.6538798650481723,0.8964110684565129,1.062045570260145,0.9656756049299561,0.8338455653901128,1.7438553368097125,4.28182642878742,1.0963828677272267,1.9592247719419127
